algo,seed,episodes,steps,time_s,mean100,std,solved
REINFORCE,0,3594,1092637,229.6,476.78,58.72,True
REINFORCE,1,2695,753303,172.3,475.67,68.46,True
REINFORCE,2,2602,713361,151.7,476.06,75.78,True
REINFORCE,3,3037,878194,302.7,475.45,65.42,True
REINFORCE,4,2715,797430,224.3,475.83,63.7,True

DQN,0,1903,593687,1294.9,475.23,78.41,True
DQN,1,1636,492231,1654.9,475.24,64.37,True
DQN,2,1845,562099,1324.7,475.81,73.05,True
DQN,3,1140,314495,1429.5,475.25,73.78,True
DQN,4,948,222078,1162.7,476.07,73.59,True



